tweet_bersih,label_sentimen,label_prediksi
ayo mutualan priv kakak bolehh aktif aktif xnxknsks semenjak sekolah offline jarang buka akun huee,0,netral
sp udahhh sekolah offline cung,1,positif
capek tugas sekolah daring suruh offline takut ketemu orang,-1,negatif
bolos daring tahu ptm sekolah offline to,1,positif
sekolah offline,0,netral
sekolah offline kamu,1,netral
moga sekolah offline kayak capek banget,1,positif
unty sekolah offline kak,1,positif
kunci buku tematik tema kelas sekolah dasar wajib hak rumah halaman sekolah sekolah offline proses ajar rumah,1,positif
jujur anjing saya sangka lancar bicara kelas sekolah offline berani,-1,negatif
unty sekolah offline,1,positif
hai tabi pulangg sekolah offline offline daring,0,netral
lulujkt sr sekolah sekolah offline,-1,negatif
mjb ajar tatap muka sekolah offline,1,positif
halo teman selamat siangpada sekolah offline daring,0,netral
daring sekolah offline,0,netral
svt konser daring offline kaget banget pulang sekolah,0,netral
sekolah offline biasanta pulang jam berapaa,1,positif
kali sayang sekolah offline sukur kangen daring rumah lulus,1,positif
saya sekolah offline,1,positif
unty nugas niiak sekolah offline,1,positif
unty sekolah offline ji antuk bangun tidur,0,positif
gasabar rasa momen pulang sekolah pas sekolah offline,1,positif
suka sekolah offline capek sekolah daring,-1,negatif
gilir sekolah offline dibolehin sekolah hadu,1,positif
aaaa sekolah offline back normal,-1,negatif
sekolah offline daring,0,netral
seru xixi sekolah offline daring lupa makan hv a nice day,1,positif
pagi sekolah offline semangat sch,1,positif
offline sekolahkuliahnya,0,netral
kangen sekolah offline wkwk,1,positif
kakak mi luluss sekolah offline,0,netral
aaa hpbd sekolah offline,1,positif
besok sekolah offline malam saya sibuk tugas,-1,negatif
sekolah offline sebal,-1,negatif
izin rest deh ku aktif sekolah offline daring penuh tugas,0,netral
unty hai aji sekolah offline,1,positif
streamingnya lihat mana luang sekolah offline kamu kuliah weekday senggang yuk streaming,0,netral
pagi sekolah offline bestie,1,positif
sekolah offline anjing,-1,negatif
semangat na sekolah offline seru seru saya uji offline,1,positif
unty pagi aji absen sekolah offline,1,positif
iya offline school is keren but not uji offline sekolah,1,positif
hai makjii sekolah offline hjhi,1,positif
sticker keluar jumat orang luang besok pekan favorite keluar senin sekolah kuliah kerja offline make sense secepet sticker,0,netral
sekolah offline daring,0,netral
saya sekolah offline sender kalimat puas no no erti korea uji indonesia sekolah offline rajin streaming kayak,-1,negatif
senin deoann sekolah offline yeyyy,1,positif
sekolah offline tugas banget,-1,negatif
adik sekolah offline,1,positif
kerja offline suka sekolah tolong wwkwk,1,positif
sekolah offline,0,netral
rilis senin masa orang kerja sekolah kampus offline,1,positif
sekolah offline prnya anjing,-1,negatif
semangat sekolah offline melll mata ajar free,1,positif
saya sekolah offline anjing iya saya teriak kayak orang gila kelas dasar dejunnn,-1,negatif
sini jam sekolah offline,1,positif
aaaa saya sekolah offline ajar mtkkk guru galak,-1,negatif
coba berangkat deh nder latih sekolah offline berangkat,1,positif
sekolah pilih situ take responsibilities siswa offline sekolah,0,netral
sekolah offline daring,0,netral
schapp sekolah offline semangat trivia katak padang pasir juli tidur sisa,1,positif
hai sekolah sekolah offline daring,0,netral
pagi moots sekolah offline semangat,1,positif
tidur nyenyak oktober sekolah daring minggu offline okk too have a nice day too,1,positif
sekolah offline daring me offline,0,netral
hai sekolah offline offline daring,0,netral
neozen maaf singgung streaming papa banget paksa drikita sekolahkerja offline streaming sempat cont,-1,negatif
sekolah offline daring,0,netral
pagi moots sekolah daring offline,0,netral
kaum orang suka sekolah offline,-1,netral
rasa capek sekolah offline,-1,negatif
pas jaman sekolah offline kalah ganti pakai lagu susah kayak bintang level hard traktir seblak lagu aju nice woiii aaaa hdusishdoshwiwjwbs kalah,1,positif
sekolah offline,0,netral
mlyt offline sekolah,1,positif
suka sekolahkerja daring offline,0,netral
adekadek saya sekolah uang jajan saya rumah doang uang jajan huaaa kuliah offline,1,positif
sekolah offline ajar,1,positif
effort banget sekolah offline ajar jam kosong,1,positif
maksimal ajar bawa bekal makan sekolah jam bel masuk bingung pagi makan loyo iya oh iya offline doang sisa rumah ajar maksimal rumah kadang,-1,negatif
saya tim kontra offline semenjak saya tinggal mama saya kerja antar jemput saya sekolah ongkos sekolah ke ke pulang ke uang jajan saya ke doang bingung uang jajan,-1,negatif
iya pas chorusnya easy listening tagih ajak streaming teman non kpopers lagu enak rilis weekday sekolah offline luang streaming,0,netral
yeay bagus sekolah offline by the way have a great day kak tii semangat,1,positif
sch tolak orang kelas contek tugas pas sekolah offline aduh nantikn tahu,0,netral
moga sekolah offline saya lancar,1,positif
sekolah offline,0,netral
sekolah offline,0,netral
amethyst imel sekolah offline kak astaga kira imel,-1,negatif
ingin saya sekolah offline,1,positif
allah bosan sekolah offline,-1,negatif
sekolah offline,0,netral
pagi lang sibuk sekolah kuliah daring offline,0,netral
pagi sibuk kuliah sekolah offline daring,0,netral
sekolah offline,0,netral
sekolah offline is sucks,-1,negatif
adik masuk sekolah offline,1,positif
antuk banget sekolah offline pagi malam selese nugas jam,-1,negatif
sekolah offline enak teman,1,positif
saya survive sekolah offline minggu sore awokawok kayak minggu kali capek banget,-1,negatif
sekolah offline jadwal daring,0,netral
sekolah offline capek banget,-1,negatif
ada sekolah offline,0,netral
sekolah offline,0,netral
sekolah offline,0,netral
tanyarl kos yaynay sekolah offline,0,netral
asheljkt udahhmau sekolah offline kakak wkwkhave a nice day,1,positif
sekolah saya kena keren offline lumayan siksa anjing,-1,negatif
sekolah offline,0,netral
sekolah offline gaenk sesi adil daring soalny takut materine ulang ganti sesi materi,-1,negatif
offline sekolah ku acara daring,0,netral
walah sekolah offline semangat,1,positif
sekolah offline,0,netral
sch struggle ulang pakai kertas lembar pas sekolah offline,-1,negatif
aduh sekolah offline,-1,negatif
pagi ijaaa semangat sekolah offline daring,1,positif
kadang habis subuh tidur papah kerja jam an pas sekolah offline ydh deh jam bangun,-1,negatif
saya mandi jam sgitu sekolah offline dingin njrr,0,netral
pagi semuaa have a nice day semangat sekolah offline,1,positif
aduh sekolah offline,-1,negatif
sekolah offline jual rotidonat pagi teman jual laku beli sarap,0,netral
morninggg sekolah offline,1,positif
eh nderr sekolah offline doang,0,negatif
ingin sekolah offline v,1,positif
saya semangat sekolah offline,1,positif
wih kecee sekolah daring offline,0,netral
enak offline daring capek offline rasa banget capek fisik pikir kayak bolakbalik pagipagi sekolah rasa banget uras tenaga,-1,negatif
lemas banget suasana hati ngapangapain sekolah offline pagi,-1,positif
offline class suka aneh ngebet banget sekolah offline,-1,negatif
sch no salty senang sekolah offline senang banget sekolah kasih tugas dijelasin materi dalam materi materi baca,1,positif
langit turun meteor sekolah sekolah offline,-1,negatif
progress today habis sekolah offline mat minat mat wajib sekolah daring jam siang tobk gratis salah bimbel sekolah sambung les ajar uh fisika besok kinda tired but oke,0,netral
malas besok sekolah offline,-1,negatif
besok sekolah offline saya antuk help pagi sekolah,1,positif
beda berat siswa ajar dewe segi tugas saya lihat lihat beda saya sekolah offline adik saya deklarasi saya masuk sekolah sekolah,-1,positif
sila hujat benar saya i mean saya sekolah pas offline tekan,-1,negatif
dibebanin kerja rumah apaapa kerja rumah kerja rumah kerja rumah deadlinenya minggu kayak kerja rumah offline hari dlnya mata ajar kerja rumah tani adik sekolah offline rasa capek anak umur ngerasanya capek banget,-1,negatif
hem ngejelasinnya sekolah kayak offline latih latih kerjain pas mata ajar pulang bawa kerja rumah mata ajar kerja rumah sfh tugas jadic,0,netral
beeeeesok saya sekolah offline for the first time sekian aowkwkw,1,positif
saya ngeri praktikum kayak efek daring saya doang semangat sekolah offline,-1,positif
sksd my gapapaa lumayan teman obrol kelas sekolah offline,1,positif
sekolah offline,0,netral
iya ambil shift malam selagi besok sekolah offline ehehheeh,1,positif
semenjak sekolah offline jarang buka studytwt,-1,negatif
sekolah offline,0,netral
relate saya saya erti ajar guru offline sekolah mah teman yodeh ajar masuk otak daring mah saya bangun siang antuk melulu,1,positif
ah tidur anjing besok ku bangun pagi sekolah offline lgie smsksksdmcndj heuhhh,-1,negatif
kak nath kangen hueeaku sekolah offlinedari jam jarang pegang handphone gitupadahal kangen jbjb tt kak nath kabar,1,positif
saya besok sekolah offlinetp malas tidur anjing,-1,negatif
jam takut besok lihat sekolah offline,-1,negatif
bioskop buka sekolah offline gym buka shake shape buka butuh olahraga banget,1,positif
lawak banget sekolah saya ulang sekolah ada offline maulid nabi ada daring cih ulang agama,0,netral
anyway bar tips cepat antuk besok saya sekolah offline,-1,negatif
besok sekolah offline antuk malas tidur,-1,negatif
saya sekolah lucu banget najis kp offline wajib ptmt jalan sahabat ajar jalan gilir kena tegur langsung ketar tir awikwok,-1,negatif
saya suka pas sekolah offline tudari jam murid duduk doang bawa minummakan istirahat sumpah pegal kursi kayu,-1,negatif
besok sekolah offline,1,positif
moots cepat antuk tidur besok sekolah offline huhu,-1,negatif
sekolah offline istirahat huhu hype enha bangtan susah dbjsjsmaka i miss too,-1,negatif
pretty good capek sekolah offline but still fun anw terima kasih uuu nay begadang antuk buru tidur okaayy,-1,negatif
teruuussss anjing jeki taiiiiii ksel ah teman kelas gajelasss uler banget ih lawak banget ngaduin gerak cepat guru wkwk misuh misuh besok sekolah offline menang,-1,negatif
wedeh besok sekolah offline,1,positif
besok sekolah daring offline,0,netral
bangun pagi pagi senin sekolah offline,1,positif
capek besok sekolah offline bangun pagi begadang,-1,negatif
by the way sekolah daring offline,0,netral
delu besok sekolah offline gnite sleep well moots,1,positif
tidurr besok sekolah offline,1,positif
nder besok offline enak yuk sekolah ajar hak semangat,1,positif
sekolah offline matematika ekonomi rumah,1,positif
saya pikir pikir sekolah daring nyaman banget offline saya kayak malas banget,-1,negatif
yeeess sekolah offline kak summy senang banget banget tunggu ketemu tt im even happier now to hear that kak summy should always be bahagia lt,1,positif
suka sekolah offline daring tolong tugas saya offline daring banyak,0,netral
sekolah offline go,1,positif
besok sekolah offline yeayyy,1,positif
for your information saya sekolah offline tugas kumpul google classroom,1,positif
capek banget tugas saya tumpuk minggi sekolah offline tumpuk kadang guru pikir anak murid mata ajar iya kejar materi capek banget begadang gara gara tugas,-1,negatif
sekolah kuliah offline ngurangin jajan kecuali kemarin covid anggur lampias beli merch pc,0,netral
jalan mal bioskop bandara wisata buka anak sekolah offline dagang senyum pasien covidpun hilang rumah sakit moga tanda arah baik taat prokes gelombang tiga,1,positif
maaf moots jarang jbjb overthinking semenjak sekolah offline,-1,negatif
srl iya sekolah offline tugas tumpuk,-1,negatif
weyyy jurus sekolah offline,1,positif
koentjoro baik bangsa saudara laki anakanak sekolah offline lihat yoyakarta kemarin macet penuh mobil kota khawatir,1,positif
sekolah offline rasa capek seru,1,positif
senin my first sekolah offline after sekolah,1,positif
i mean sekolah offline sekolah senin jumat,1,positif
sekolah pakai kerudung rasa sekolah daring sekolah offline,0,netral
besok sekolah offline,1,positif
apakh menang besok vaksin sekolah offline ajar kimia visual arts ajar,1,positif
sekolah offline spill uang saku,1,positif
saya fine fine offline ekstrakulikuler off in anjing saya fokus mata ajar kayak hambat moga ekstra kulikuler hentiin saya lulus sekolah wkwk,-1,negatif
catat sekolah daring oke offline kayak nyatet saya nyatet susah tinggal nyalin santai,0,netral
saya sekolah offline saya pilih dua,1,positif
iya sekolah rumah guru saya kota saya guru rumah kayak sekolah offline saya kota materi and latih kirim email deh,1,positif
kak jajan sunscreen sekolah offline,1,positif
first day sistem gilir kumpul ajar b budak kumpul a sekolah pesan minggu lepas guru ulang from az ajar kat a last week pdpr offline module kesan terang guru,-1,negatif
jahat banget ngerencanain libur saya minggu full sekolah offline,0,netral
saya kelas tugas ngotak tertawa kuliah mampus saya saya tolil tugas doang by the way saya sekolah offline kuis ulang tugas saya tertawa capek buk wkwk,-1,negatif
deh saya sekolah offline kelas masuk srek banget saya sesi,1,positif
asyik sekolah offline,1,positif
sekolah mu daring offline,0,netral
suka sekolah offline daring,0,netral
moga cepat sembuh sekolah offline pikir uji semester suruh video,1,positif
hem eh sekolah offline gakenal teman kelas kamu kenal,0,netral
saya kayak pagi sekolah offline guru ngawas saya kayak degdegan banget,-1,negatif
ah sekolah offline daring by the way,0,netral
berangkat gelap pulang gelap sekolah offline wkwk,0,netral
revan sekolah offline daring adik,0,netral
gakkk sengaja pencet teman besok takut sekolah offline,-1,negatif
jujur kangen sekolah offline,1,positif
jahat iyapasti jahat banget lebih baik sekolah rumah ajamales ketemu teman teman kelas sekolah offline duhhhhhhaku coba damai hati deh butuh lamatapi ayo chakendaliin,-1,negatif
sekolah offline hari masuk senang,1,positif
sekolah offline pas berangkat hujan pulang motor mogok jalan kaki siang bolongpake pantofel,1,positif
sekolah daring offline,0,netral
pensi kook ngurangin koleksi habis sekolah offline takut gadirawat pcku,-1,negatif
kayak rest hunter sekolah offline,1,positif
lebih baik offline deh sekolah daring pusing banget saya,1,positif
sekolah offline sesi sesi pagi siang sesi siang sore,1,positif
kelas kelas sekolah offline parkir,1,positif
sekolah daring keluh sekolah offline keluh,0,netral
offline school capek anjing fisik saya capek banget sekolah kelas maksimal,-1,negatif
proses pindah on ingin sekolah offline full day canda teman cepat banget lupa sakit,1,positif
saya sekolah offline ajar pedicure and manicure saya sekolah tumpang sih kuku lumayan gratis,1,positif
banget pas sekolah offline jalan pulang tongkrong warung jadi tongkrong anak sekolah khusus sekolah untung pakai motor,1,positif
gapapaa mulung semangat sekolah seru banget offline,1,positif
frio alas terima orang cari teman kayak coba sudut pandang tempat kuliahsekolah kena pembullyan apa rugi senang daring offline,-1,negatif
sisi try hard baur pas kuliah coba cari teman minat orang kayak bantu teman susah tugas teman djadiin alas sekolah offline gede susah cari teman imo,0,netral
cepat sekolah offline,1,positif
pas sekolah daring buru kayak sekolah tatap muka offline pas sekolah offline sekolah daring,0,netral
saya pas sekolah offline,1,positif
iya karr mingdep saya sekolah offline saya jakarta libur,0,positif
pas sekolah offline hafal jadwal ajar hafal,1,positif
sekolah offline diksi duit jajan,-1,negatif
sch offline offline sekolah pas kelas kelas sender gedung sender cepat kelas,1,positif
sekolah offline capek rasa wkwk sore les moga cepat adaptasi eh betah banget sekolah sore banget jam sore pulang,-1,negatif
sekolahkerja via daring enak begadang bangun siang khawatir berangkat kerjasekolah offline gedandapan puyeng,-1,negatif
ke uang jajan uang bensin kadang suka tambah ke kakek main rumah pas jaman offline kos perlu sekolah kayak fotokopi kasih,0,netral
wow mantap by the way dom cepat sekolah offline pagi sore,1,positif
sekolah offline pagi sore kah,0,netral
sekolah offline tugas banget lumayan jarang on twit hbu,-1,negatif
sekolah offline tugas banget hssj,-1,negatif
sayang syukur orang gilir daring ingin offline sekolah offline ingin daring mau konsisten lebih baik sekolah deh,0,netral
sekolah offline,0,netral
sayang syukur orang gilir daring ingin offline sekolah offline ingin daring lebih baik sekolah deh kesal,0,netral
alhamdulillah jalan sekolah offline kasih sangu orang tua jatah ke hari tabung alhamdulillah jalan album sn kumpul ambil beli jilbab kumpul ke,1,positif
jumat sekolah offline,1,positif
i mean like skip kelas masuk sekolah offline,1,positif
sibuk urus sekolah offline tugas banyak,-1,negatif
apa sekolah offline,1,positif
sekolah offline susah on im sowrrryyyy,0,netral
halo tai sekolah daring masuk offline by the way lupa makan,0,netral
schapp sekolah offline tugas trivia ombrometer alat ukur curah hujan,0,netral
pas offline kasih ongkos pulang doang kantin sekolah buka wkwk,0,netral
cug bersukurnya manusia kasih libur keluh rasa hidup normal sekolah offline hidup normal sekolah offline eh daring,0,netral
capek sekolah offline,-1,negatif
sekolah daring offline,0,netral
nder nadiem pusing sekolah daring salah sekolah offline salah beliau pusing,0,netral
sekolah offline jam capek banget,-1,negatif
senin buruk sekolah offline terima kasih isi x ilmu tahu alam obrol lihat liat,1,positif
saya mingdep offline terima kasih jam sekolah saya selasela ajar bu izin angkat video call lia,1,positif
banget sekolah offline pas dengar kabar ajar offline senang pas offline daring suasana freak,-1,negatif
bleau sekolah offline hbu,1,positif
iya diksih semenjak masuk sekolah offline,1,positif
bismillah gedor makji kumpul duit makji bayar utang mama tunggu rezeki tambah beli novel alat sekolah adik offline,1,positif
kantin sekolah sekolah offline buka,0,netral
todays mail kali todays mail pc hand sanitizer renjun sekolah offline anjaylucu banget pas datengnyasafe packing and another yupi for freebies,0,netral
sekolah offline batas,1,positif
sibuk diri chil sekolah offline unjung sekolah langsungtetep on kadang malam,1,positif
iya ibu sekolah offline,-1,negatif
sekolah offline full deh tt,1,positif
kantor sekolah masuk offline pusiang bu moga jadi,-1,negatif
syukur daring egois saya syukur banget offline pekan adik saya paham kalian dikitdikit tolong erti sekolah kasih surat ketidaksiapan offline,1,positif
adik masuk sekolah offline,1,positif
sekolah rumah offline sembunyi rumah,1,positif
cieee sekolah offline,1,positif
sekolah offline daring sesuai suasana hati,0,netral
gemas banget ponakan sekolah offline,1,positif
